cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
2,9.5900,swingup,6.00,2.7983,-0.8429,115.57,177.67,-0.3597,-0.4207,1.8278
1,9.6900,swingup,-6.00,-1.4396,0.8096,154.01,150.69,-1.0087,0.1085,3.0661
2,9.6900,swingup,6.00,2.7059,-1.5525,159.15,157.93,2.1947,0.1437,-25.5802
1,9.7900,swingup,-6.00,-1.3616,0.3683,118.07,146.23,1.0110,-2.4131,-17.5195
2,9.7900,swingup,6.00,2.5136,-1.6783,-162.55,136.68,-0.2389,-1.0755,11.5677
1,9.8900,swingup,-6.00,-1.3799,-0.6042,97.89,118.94,-1.9574,0.1160,-6.6837
2,9.8900,swingup,6.00,2.3910,-0.6802,-128.99,149.98,-0.8185,-1.1759,13.3532
1,9.9900,swingup,-6.00,-1.4595,-1.0261,95.48,80.00,0.3805,-0.4668,-6.8650
2,9.9900,swingup,6.00,2.3715,-0.0036,-108.66,-163.60,1.0870,-2.7750,-0.2068
1,10.0900,swingup,-6.00,-1.5791,-1.3859,98.37,47.21,0.5910,1.3986,-3.9077
2,10.0900,swingup,6.00,2.3731,-0.2910,-122.20,-95.61,2.3609,-0.1858,-9.0958
1,10.1900,swingup,-6.00,-1.7292,-1.6190,103.81,23.52,1.3434,2.6811,-2.2955
2,10.1900,swingup,6.00,2.3360,-0.0681,-131.80,-40.98,0.0326,1.5284,1.8747
1,10.2900,swingup,-6.00,-1.8989,-1.8079,115.40,6.70,2.6535,-2.2764,-3.7981
2,10.2900,swingup,6.00,2.3258,-0.2305,-128.00,2.03,0.9986,1.3489,-3.8684
1,10.3900,swingup,-6.00,-2.0577,-0.9634,138.17,-2.77,-0.8492,-1.2028,7.9104
2,10.3900,swingup,6.00,2.2876,-0.5481,-120.62,50.36,1.3961,2.8845,-4.5889
1,10.4900,swingup,-6.00,-2.1409,-1.0786,178.22,1.75,1.1764,2.2356,-8.5521
2,10.4900,swingup,6.00,2.2331,-0.3803,-119.40,102.05,-1.2705,2.2781,7.2510
1,10.5900,swingup,-6.00,-2.2685,-1.2270,-143.90,11.72,-0.4527,0.5813,9.4371
2,10.5900,swingup,6.00,2.2245,-0.3201,-139.84,154.03,-0.1151,-2.6885,0.9118
1,10.6900,swingup,-6.00,-2.3530,-0.3309,-116.47,1.35,-2.2675,2.5500,9.9223
2,10.6900,swingup,6.00,2.1768,-1.5246,164.35,-132.24,3.1111,-3.1226,-35.6276
1,10.7900,swingup,-6.00,-2.3570,0.1836,-95.59,-29.57,-2.6725,-0.2912,2.3153
2,10.7900,swingup,6.00,2.0624,-0.8904,126.82,-100.98,0.8739,-2.8318,-1.9927
1,10.8900,swingup,-6.00,-2.3439,-0.0653,-72.54,-75.47,-2.1138,-2.6718,-1.5420
2,10.8900,swingup,6.00,1.9769,-0.7471,98.89,-89.48,2.0165,1.3199,1.9825
1,10.9900,swingup,-6.00,-2.3593,-0.0465,-60.40,-121.40,0.0459,-0.9338,0.6467
2,10.9900,swingup,6.00,1.9195,-0.3939,80.49,-82.30,-2.3610,1.2405,2.0234
1,11.0900,swingup,-6.00,-2.3747,-0.2884,-72.64,-163.68,2.2363,-1.1790,6.6208
