cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
2,12.6900,swingup,6.00,2.2281,0.2937,128.60,95.94,-1.5462,-1.7270,7.0762
1,12.7900,swingup,-6.00,-2.2786,0.7301,38.65,122.14,2.9247,1.0462,9.1224
2,12.7900,swingup,6.00,2.3116,0.9792,92.06,159.56,3.0614,2.4198,-7.4247
1,12.8900,swingup,-6.00,-2.2184,0.5577,68.95,161.05,0.7696,-0.4689,2.8835
2,12.8900,swingup,6.00,2.3851,0.4393,90.26,-156.45,1.8211,1.0840,-5.3276
1,12.9900,swingup,-6.00,-2.1447,1.0650,119.18,177.58,-2.2062,-0.3858,11.0011
2,12.9900,swingup,6.00,2.4115,0.2103,113.20,-116.21,-0.6888,0.2722,-1.2272
1,13.0900,swingup,-6.00,-2.0178,0.9007,-168.21,150.42,-1.0914,2.8249,12.2868
2,13.0900,swingup,6.00,2.4268,0.0156,149.68,-90.90,0.1410,2.0722,-4.0454
1,13.1900,swingup,-6.00,-1.8756,1.3655,-112.36,172.91,1.3417,2.1808,-13.4374
2,13.1900,swingup,6.00,2.4239,-0.0418,-174.63,-97.15,0.0125,2.6113,-1.1667
